GO term	GOID	FULL GOID	cellular location
1,3-beta-D-glucan synthase complex	148	GO:0000148	plasma membrane
6-phosphofructokinase complex	5945	GO:0005945	cytosol
acetolactate synthase complex	5948	GO:0005948	cytoplasm
Ada2/Gcn5/Ada3 transcription activator complex	5671	GO:0005671	nucleoplasm
alpha DNA polymerase:primase complex	5658	GO:0005658	nucleus
alpha-1,6-mannosyltransferase complex	136	GO:0000136	Golgi membrane
alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)	5946	GO:0005946	cytoplasm
AMP-activated protein kinase complex	31588	GO:0031588	intracellular
anaphase-promoting complex	5680	GO:0005680	nucleus
anthranilate synthase complex	5950	GO:0005950	cytoplasm
AP-1 adaptor complex	30121	GO:0030121	clathrin coat of trans-Golgi network vesicle
AP-2 adaptor complex	30122	GO:0030122	clathrin coat of endocytic vesicle
AP-3 adaptor complex	30123	GO:0030123	endosome membrane
Arp2/3 protein complex	5885	GO:0005885	cytoskeleton
ASTRA complex	70209	GO:0070209	nucleus
Atg12-Atg5-Atg16 complex	34274	GO:0034274	cytoplasm
Atg1p signaling complex	34273	GO:0034273	cytoplasm
BLOC-1 complex	31083	GO:0031083	cytosol
CAAX-protein geranylgeranyltransferase complex	5953	GO:0005953	intracellular
CAF-1 complex	33186	GO:0033186	nucleus
calcineurin complex	5955	GO:0005955	intracellular
cAMP-dependent protein kinase complex	5952	GO:0005952	intracellular
carbamoyl-phosphate synthase complex	5951	GO:0005951	cytoplasm
CBF3 complex	31518	GO:0031518	nucleus
CCAAT-binding factor complex	16602	GO:0016602	nucleus
CCR4-NOT complex	30014	GO:0030014	intracellular
Cdc48p-Npl4p-Ufd1p AAA ATPase complex	34098	GO:0034098	endoplasmic reticulum
Cdc48p-Npl4p-Vms1p AAA ATPase complex	36266	GO:0036266	mitochondrial outer membrane
chaperonin-containing T-complex	5832	GO:0005832	cytosol
checkpoint clamp complex	30896	GO:0030896	nucleus
CHRAC	8623	GO:0008623	nucleus
chromosome passenger complex	32133	GO:0032133	microtubule cytoskeleton
COMA complex	817	GO:0000817	nucleus
COP9 signalosome	8180	GO:0008180	nucleus
COPI vesicle coat	30126	GO:0030126	COPI-coated vesicle membrane
COPII vesicle coat	30127	GO:0030127	ER to Golgi transport vesicle membrane
core TFIIH complex	439	GO:0000439	nucleus
CORVET complex	33263	GO:0033263	endosome
Ctf18 RFC-like complex	31390	GO:0031390	nucleus
Cul3-RING ubiquitin ligase complex	31463	GO:0031463	intracellular
Cul8-RING ubiquitin ligase complex	35361	GO:0035361	intracellular
CURI complex	32545	GO:0032545	nucleus
cytoplasmic dynein complex	5868	GO:0005868	cytoplasm
cytoplasmic exosome (RNase complex)	177	GO:0000177	cytoplasm
DASH complex	42729	GO:0042729	nucleus
Dbf4-dependent protein kinase complex	31431	GO:0031431	nucleus
delta DNA polymerase complex	43625	GO:0043625	nucleus
DNA ligase IV complex	32807	GO:0032807	nucleus
DNA replication factor A complex	5662	GO:0005662	nucleus
DNA replication factor C complex	5663	GO:0005663	nucleus
DNA-directed RNA polymerase I complex	5736	GO:0005736	nucleolus
DNA-directed RNA polymerase II, holoenzyme	16591	GO:0016591	nucleoplasm
DNA-directed RNA polymerase III complex	5666	GO:0005666	nucleoplasm
Doa10p ubiquitin ligase complex	837	GO:0000837	endoplasmic reticulum membrane
dolichyl-phosphate-mannose-protein mannosyltransferase complex	31502	GO:0031502	endoplasmic reticulum membrane
Dsc E3 ubiquitin ligase complex	44695	GO:0044695	ER and Golgi membrane
DSIF complex	32044	GO:0032044	nucleoplasm
Dsl1p complex	70939	GO:0070939	cytoplasm
dynactin complex	5869	GO:0005869	cytoskeleton
EGO complex	34448	GO:0034448	vacuolar membrane
eisosome	32126	GO:0032126	intracellular
EKC/KEOPS complex	408	GO:0000408	intracellular
Elg1 RFC-like complex	31391	GO:0031391	nucleus
Elongator holoenzyme complex	33588	GO:0033588	intracellular
elongin complex	70449	GO:0070449	nucleoplasm
epsilon DNA polymerase complex	8622	GO:0008622	nucleus
ER membrane protein complex	72546	GO:0072546	endoplasmic reticulum membrane
eRF1 methyltransferase complex	35657	GO:0035657	intracellular
ERMES complex	32865	GO:0032865	mitochondrial outer membrane
ESCRT I complex	813	GO:0000813	endosome membrane
ESCRT II complex	814	GO:0000814	endosome membrane
ESCRT III complex	815	GO:0000815	endosome membrane
ESCRT-0 complex	33565	GO:0033565	endosome
eukaryotic translation elongation factor 1 complex	5853	GO:0005853	cytoplasm
eukaryotic translation initiation factor 2 complex	5850	GO:0005850	cytoplasm
eukaryotic translation initiation factor 2B complex	5851	GO:0005851	cytoplasm
eukaryotic translation initiation factor 3 complex	5852	GO:0005852	cytoplasm
eukaryotic translation initiation factor 4F complex	16281	GO:0016281	cytoplasm
exocyst	145	GO:0000145	cell cortex
exomer complex	34044	GO:0034044	trans-Golgi network transport vesicle
F-actin capping protein complex	8290	GO:0008290	cytoskeleton
FACT complex	35101	GO:0035101	nucleoplasm
FAl1-SGD1 complex	97078	GO:0097078	intracellular
fatty acid synthase complex	5835	GO:0005835	cytosol
GARP complex	938	GO:0000938	cytoplasmic membrane-bounded vesicle
GET complex	43529	GO:0043529	endoplasmic reticulum
GID complex	34657	GO:0034657	intracellular
GINS complex	811	GO:0000811	nucleus
glucosidase II complex	17177	GO:0017177	endoplasmic reticulum
glutamyl-tRNA(Gln) amidotransferase complex	30956	GO:0030956	intracellular
glycine cleavage complex	5960	GO:0005960	cytoplasm
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	506	GO:0000506	endoplasmic reticulum
Golgi transport complex	17119	GO:0017119	Golgi apparatus
GPI-anchor transamidase complex	42765	GO:0042765	endoplasmic reticulum membrane
Gtr1-Gtr2 GTPase complex	1990131	GO:1990131	intracellular
HDA1 complex	70823	GO:0070823	nucleus
