SAM3	S000006195	amino acid transport	GO:0006865
MMS22	S000004312	DNA repair	GO:0006281
tP(UGG)Q	S000007328	triplet codon-amino acid adaptor activity	GO:0030533
IZH1	S000002900	endoplasmic reticulum	GO:0005783
MCM1	S000004646	DNA binding	GO:0003677
VPS16	S000005966	Golgi vesicle transport	GO:0048193
NCE102	S000006353	regulation of protein modification process	GO:0031399
YIL082W-A	S000003537	nucleus	GO:0005634
KSP1	S000001124	signaling	GO:0023052
RPL1A	S000006141	structural molecule activity	GO:0005198
SWD2	S000001501	protein alkylation	GO:0008213
YER039C-A	S000007226	membrane	GO:0016020
FEX2	S000006200	ion transport	GO:0006811
AAT1	S000001589	cellular amino acid metabolic process	GO:0006520
TRS120	S000002815	endosomal transport	GO:0016197
YPL168W	S000006089	mitochondrion	GO:0005739
RSF1	S000004632	mitochondrion	GO:0005739
RGA1	S000005653	response to chemical	GO:0042221
PAP2	S000005475	hydrolase activity	GO:0016787
RRN3	S000001608	transcription from RNA polymerase I promoter	GO:0006360
CDC16	S000001505	protein modification by small protein conjugation or removal	GO:0070647
ATP5	S000002706	hydrolase activity	GO:0016787
NUP159	S000001377	nucleus	GO:0005634
RSM24	S000002582	ribosome	GO:0005840
YPL162C	S000006083	membrane	GO:0016020
PSK2	S000005405	cytoplasm	GO:0005737
RNA1	S000004848	nucleobase-containing compound transport	GO:0015931
LOS1	S000001688	nucleus	GO:0005634
PRP16	S000001794	ATPase activity	GO:0016887
MLP1	S000001803	chromatin organization	GO:0006325
CPR2	S000001099	cellular component	GO:0005575
YAL037W	S000000035	molecular function	GO:0003674
SEC17	S000000146	cytoplasm	GO:0005737
RRN10	S000000121	DNA binding	GO:0003677
SWI5	S000002553	cytoplasm	GO:0005737
RIB4	S000005503	cytoplasm	GO:0005737
AHC1	S000005549	histone modification	GO:0016570
PIL1	S000003318	plasma membrane	GO:0005886
MIP1	S000005857	cytoplasm	GO:0005737
YOR283W	S000005809	cytoplasm	GO:0005737
SLG1	S000005534	peroxisome organization	GO:0007031
BIO5	S000005339	transmembrane transporter activity	GO:0022857
SEC27	S000003105	membrane	GO:0016020
RKI1	S000005621	nucleobase-containing small molecule metabolic process	GO:0055086
BRE1	S000002232	telomere organization	GO:0032200
SHC1	S000000898	enzyme regulator activity	GO:0030234
tG(GCC)M	S000006585	triplet codon-amino acid adaptor activity	GO:0030533
CLA4	S000005242	vacuole	GO:0005773
PST1	S000002462	membrane	GO:0016020
NOP19	S000003483	rRNA processing	GO:0006364
